fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2022-03-31,USD,2004823000,558975000,391286000,391286000,None,100043000,1448033000,138032000,119026000,1103203000,189819000,913384000,None,None,0,67646000,73373000,901458000,306312000,56558000,55355000,None,None,584178000,None,494700000,None,494730000,494700000,194499000,87079000,1103365000,166184000,-95019000,522000,502005000,ANGI
2021-12-31,USD,2012073000,585003000,428136000,428136000,None,84387000,1499221000,118267000,108235000,1109865000,193826000,916039000,0,None,0,70548000,76245000,877454000,278441000,38860000,53934000,None,17098000,676628000,17098000,494600000,None,494552000,494600000,166717000,91670000,1134619000,158040000,-61629000,522000,502467000,ANGI
2021-09-30,USD,2075038000,650981000,476625000,476625000,None,98538000,1426473000,116825000,96956000,1115105000,198024000,917081000,0,None,0,75818000,192127000,917127000,303268000,39491000,60125000,None,None,598540000,None,494373000,None,494373000,494373000,203752000,102434000,1157911000,157484000,-35608000,521000,503416000,ANGI
2021-06-30,USD,2106728000,714099000,584260000,584260000,None,62052000,1394659000,111054000,87347000,1093782000,201166000,892616000,0,None,0,67787000,187793000,908357000,291912000,53230000,60153000,None,None,600955000,None,494195000,None,494195000,494195000,178629000,104998000,1198371000,127718000,-18613000,521000,504469000,ANGI
2021-03-31,USD,2301589000,907993000,777041000,777041000,None,56915000,1443229000,111431000,80052000,1095912000,204626000,891286000,None,None,None,74037000,186253000,1078469000,247320000,35251000,57775000,None,None,815818000,None,705987000,None,705987000,705987000,154394000,108416000,1223120000,126997000,11680000,520000,500663000,ANGI
2020-12-31,USD,2368182000,977806000,812705000,862700000,None,43148000,1478784000,108842000,95438000,1101514000,209717000,891797000,99990000,None,49995000,71958000,94274000,1095892000,233678000,30805000,54854000,7723000,7723000,929058000,15700000,712277000,0,712277000,720000000,132519000,111710000,1272290000,122081000,9749000,516000,499914000,ANGI
2020-09-30,USD,2414601000,1026257000,855044000,905036000,None,51721000,1390973000,104323000,93842000,1097623000,212927000,884696000,49992000,None,49992000,69500000,186398000,1140689000,268458000,42973000,58269000,13750000,233780000,836708000,None,729158000,13750000,715408000,962938000,153566000,119112000,1273912000,112808000,24213000,515000,497501000,ANGI
2020-06-30,USD,1925391000,534343000,420985000,420985000,None,49760000,1394560000,104261000,83970000,1107807000,225401000,882406000,None,None,None,63598000,178980000,633069000,255263000,44600000,58191000,13750000,39000,343209000,None,239086000,13750000,225336000,239125000,138822000,115882000,1292322000,112808000,19741000,511000,495769000,ANGI
2020-03-31,USD,1902744000,494129000,384230000,384230000,None,44238000,1452213000,103806000,73500000,1116826000,237733000,879093000,None,None,None,65661000,107082000,620994000,240024000,33999000,58069000,13750000,13750000,348097000,None,242393000,13750000,228643000,242363000,134406000,115832000,1281750000,96920000,7074000,510000,499454000,ANGI
2019-12-31,USD,1921611000,499993000,390565000,390565000,None,41669000,1426027000,103361000,68227000,1135685000,251725000,883960000,None,None,None,67759000,182572000,607323000,214954000,25987000,116820000,26984000,13750000,476017000,None,247500000,13750000,231946000,247500000,116997000,121055000,1314288000,57949000,16032000,509000,502517000,ANGI
2019-09-30,USD,1944000000,509483000,402914000,402914000,None,44045000,1475320000,101972000,57502000,1146454000,264310000,882144000,None,None,None,62524000,8940000,620717000,231232000,25485000,65000000,26015000,42000,477197000,130944000,248996000,13750000,235246000,249038000,127165000,119760000,1323283000,34157000,16139000,508000,505836000,ANGI
2019-06-30,USD,1957003000,500876000,380563000,380563000,None,56835000,1494947000,99883000,49053000,1190743000,276238000,914505000,None,None,None,63478000,8662000,621558000,226147000,34187000,65534000,26559000,13750000,483071000,132791000,252107000,13750000,238357000,252075000,112876000,121097000,1335445000,None,-1860000,507000,506725000,ANGI
2019-03-31,USD,1920202000,479554000,345351000,345351000,None,52255000,1334844000,79618000,41397000,1206104000,290172000,915932000,None,None,24947000,81948000,8406000,597344000,218960000,21803000,None,13750000,13750000,342986000,None,257813000,13750000,241664000,257813000,120466000,100922000,1322858000,None,-8828000,506000,504404000,ANGI
2018-12-31,USD,1808027000,474127000,336984000,361931000,None,27263000,1296883000,70859000,36473000,1199004000,304295000,894709000,None,None,24947000,84933000,23200000,495086000,201237000,20083000,61917000,13750000,13750000,263332000,None,261250000,13750000,244971000,261250000,105987000,16846000,1312941000,0,-18797000,502000,496394000,ANGI
2018-09-30,USD,1579055000,420606000,279489000,314354000,None,44394000,1121011000,58775000,34689000,1049776000,280645000,769131000,None,None,34865000,61858000,7427000,476293000,180609000,18722000,None,13750000,13750000,261813000,None,264688000,13750000,248455000,264688000,81471000,11610000,1102762000,None,-55484000,482000,481570000,ANGI
2018-06-30,USD,1528301000,353984000,255595000,255595000,None,43411000,1126621000,53396000,29868000,1065203000,296227000,768976000,None,None,None,54978000,8022000,469892000,171998000,22389000,None,13750000,13750000,263563000,None,268125000,13750000,251740000,268125000,66448000,9247000,1058409000,None,-82101000,481000,480618000,ANGI
2018-03-31,USD,1507621000,319388000,228744000,228744000,None,35866000,1188233000,46971000,27888000,1087013000,313204000,773809000,None,None,None,54778000,8134000,470894000,169005000,17677000,67045000,13750000,13750000,269651000,None,271563000,13750000,255027000,271563000,70533000,6923000,1036727000,None,-105000000,479000,478309000,ANGI
2017-12-31,USD,1467262000,262378000,221521000,221521000,None,28085000,1204884000,53292000,24368000,1098797000,328571000,770226000,None,None,None,12772000,2072000,473916000,171041000,18933000,64100000,13750000,14566000,271827000,None,275000000,13750000,258312000,275000000,75171000,5892000,993346000,None,-121764000,478000,477514000,ANGI
