Date,Open,High,Low,Close,Volume
2020-11-19,45.0,49.03,40.0,47.55,1487393
2020-11-20,49.74,49.74,41.05,48.9,497839
2020-11-23,48.0,56.432,46.0,52.78,575196
2020-11-24,53.34,56.105,46.02,47.11,537050
2020-11-25,46.2,51.5,44.0,48.51,977785
2020-11-27,48.81,51.35,48.01,49.8,65671
2020-11-30,50.25,52.01,49.21,51.0,113122
2020-12-01,51.21,55.93,50.0,54.5,153717
2020-12-02,53.68,60.27,53.24,55.0,142781
2020-12-03,53.83,56.5,49.615,50.83,308103
2020-12-04,51.18,52.602,48.24,49.0,223200
2020-12-07,48.73,50.0,44.0,44.93,159262
2020-12-08,45.0,46.0,42.3,42.87,110453
2020-12-09,42.5,44.57,42.13,43.72,56595
2020-12-10,44.12,45.99,42.78,45.99,79791
2020-12-11,45.8,45.8,43.21,43.28,29142
2020-12-14,45.55,45.68,39.76,40.2,105217
2020-12-15,40.0,40.05,38.6,38.6,66885
2020-12-16,39.38,39.38,36.8,36.98,72465
2020-12-17,37.0,41.92,35.73,40.07,91203
2020-12-18,40.66,45.45,39.965,44.0,273108
2020-12-21,44.46,46.98,42.0,43.0,108987
2020-12-22,43.0,46.38,41.91,46.24,122296
2020-12-23,46.0,50.98,44.86,49.75,95625
2020-12-24,49.7,51.7,49.01,51.5,35751
2020-12-28,50.82,51.13,48.2,48.74,33724
2020-12-29,49.0,49.72,45.77,46.76,25980
2020-12-30,46.75,50.09,46.53,48.76,99732
2020-12-31,49.22,50.77,47.37,48.08,72676
2021-01-04,48.46,49.063,45.02,45.68,31155
2021-01-05,45.04,45.82,42.08,42.32,68201
2021-01-06,42.3,43.47,42.0,43.12,80752
2021-01-07,43.47,43.98,42.69,42.77,77774
2021-01-08,42.75,43.29,42.12,42.21,52125
2021-01-11,42.16,42.575,40.7,41.39,69041
2021-01-12,41.38,42.0,40.94,42.0,119436
2021-01-13,41.71,42.575,41.03,42.1,104759
2021-01-14,42.56,42.89,40.81,41.37,98289
