fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2024-09-30,USD,104727000,7000,None,9653000,7749000,31709000,59448000,5301000,None,-15331000,-76400000,-2411000,None,0,0,None,None,None,None,0,None,None,1417000,None,None,None,-15331000,NET
2024-06-30,USD,74815000,55000,None,33781000,40428000,29655000,36540000,38577000,None,-15078000,-183742000,7143000,None,0,0,None,None,None,None,0,None,None,13647000,None,None,None,-15078000,NET
2024-03-31,USD,73579000,8000,None,12173000,-9052000,30112000,37972000,-31862000,None,-35574000,96950000,21000,None,0,0,None,None,None,None,0,None,None,4422000,None,None,None,-35543000,NET
2023-12-31,USD,85441000,4000,None,60830000,55065000,36180000,34725000,52910000,28060000,-27865000,-101647000,9790000,None,0,0,None,None,None,None,8633000,None,None,12100000,None,None,None,-27865000,NET
2023-09-30,USD,68100000,71000,None,23693000,30371000,34458000,33225000,25038000,-10928000,-23535000,-100229000,-34610000,0,0,0,None,2065000,2065000,None,0,None,None,4325000,None,None,None,-23535000,NET
2023-06-30,USD,64451000,594000,None,29744000,9524000,33673000,44481000,2632000,-17132000,-94467000,108000,-168612000,0,34000,34000,None,14204000,14204000,None,0,None,None,14170000,None,None,None,-94467000,NET
2023-03-31,USD,36414000,1000,None,33945000,42257000,31509000,22511000,32781000,None,-38082000,15567000,1247000,0,0,0,None,None,None,None,0,None,None,3305000,None,53228000,None,-38082000,NET
2022-12-31,USD,78123000,595000,None,39078000,26716000,29633000,44463000,23364000,None,-45917000,-19956000,8019000,0,0,0,None,506000,506000,None,0,None,None,8474000,None,66186000,None,-45917000,NET
2022-09-30,USD,42688000,1000,None,10228000,7173000,27350000,47302000,5884000,None,-42546000,-48887000,1439000,0,0,0,None,None,None,None,-1000,None,None,2152000,None,-20646000,None,-42546000,NET
2022-06-30,USD,38251000,594000,None,25454000,-5126000,25338000,42665000,-3828000,None,-63507000,-56048000,11143000,0,0,0,None,None,None,None,None,None,None,11659000,None,-43507000,None,-63537000,NET
2022-03-31,USD,-35467000,48000,None,17586000,37885000,20014000,28934000,30775000,None,-41381000,-110805000,-14254000,0,3000,3000,None,1957000,1957000,None,None,None,None,3003000,None,-160526000,None,-41381000,NET
2021-12-31,USD,40617000,677000,None,19714000,15807000,18332000,31981000,11731000,None,-77501000,-354795000,9774000,0,1000,1000,None,349262000,349262000,None,None,None,None,12392000,None,-304404000,None,-77501000,NET
2021-09-30,USD,-6918000,771000,None,6627000,7494000,17030000,32814000,9754000,2682000,-107335000,-444773000,820183000,0,19000,19000,None,None,None,None,None,None,None,5264000,None,-91235000,None,-107335000,NET
2021-06-30,USD,7455000,2156000,None,14522000,8591000,16027000,17230000,5152000,-6780000,-35510000,42470000,10150000,0,19000,19000,None,None,None,None,None,None,None,10710000,None,-20410000,None,-35510000,NET
2021-03-31,USD,23494000,30000,None,21362000,7358000,15218000,25713000,9211000,7155000,-39996000,47776000,7379000,0,150000,150000,None,None,None,None,None,None,None,7814000,None,78649000,None,-39963000,NET
2020-12-31,USD,-8813000,2158000,None,4608000,23583000,14358000,14667000,15290000,-4548000,-34021000,-579000,6732000,0,44000,44000,None,None,None,None,None,None,None,7165000,None,-2660000,None,-34021000,NET
2020-09-30,USD,1973000,0,None,6355000,11296000,12916000,19827000,5438000,-5432000,-26468000,-205153000,1156000,0,12000,12000,None,None,None,None,None,None,None,1377000,None,-14368000,None,-26468000,NET
2020-06-30,USD,3987000,0,None,9949000,3918000,11550000,24141000,4152000,-831000,-26135000,-300769000,501702000,0,31000,31000,None,None,None,None,None,None,None,7076000,None,-15335000,None,-26135000,NET
2020-03-31,USD,-14276000,34000,None,6359000,9580000,10563000,16327000,8120000,-7817000,-32746000,-8772000,-4678000,-200000,70000,70000,None,1104000,1104000,None,None,None,None,2605000,None,-27726000,None,-32746000,NET
2019-12-31,USD,-8574000,213000,None,-972000,3867000,8556000,14966000,3289000,4470000,-28155000,-352659000,-1497000,None,128000,128000,None,3058000,3058000,None,None,None,None,31000,None,-362730000,None,-28155000,NET
2019-09-30,USD,-17786000,None,None,None,None,7763000,15852000,None,-1598000,-40853000,-92829000,570216000,None,67000,None,None,None,None,None,None,None,None,-67000,None,-31953000,None,-40853000,NET
