fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2022-01-31,USD,1783000,995000,None,None,874000,4939000,1154000,1025000,-398000,3052000,-1201000,-355000,None,None,0,None,None,None,None,126000,None,None,126000,None,227000,None,-99000,OOMA
2021-10-31,USD,1878000,986000,None,389000,3181000,1800000,1308000,1457000,369000,-379000,-2985000,480000,None,None,0,None,None,None,None,959000,None,None,959000,None,-1365000,None,-326000,OOMA
2021-07-31,USD,2570000,983000,None,343000,3193000,1700000,1077000,762000,394000,-458000,-893000,-508000,None,None,0,None,None,None,None,152000,None,None,152000,None,-1441000,None,-439000,OOMA
2021-04-30,USD,424000,980000,None,-2470000,1014000,1626000,665000,-1162000,1206000,-966000,192000,984000,None,None,0,None,None,None,None,1469000,None,None,1469000,None,1600000,None,-887000,OOMA
2021-01-31,USD,2203000,973000,None,630000,2871000,4200000,879000,238000,2010000,-595000,203000,-619000,None,None,0,None,None,None,None,85000,None,None,85000,None,1787000,None,-595000,OOMA
2020-10-31,USD,2499000,964000,None,2599000,4625000,300000,773000,726000,844000,-413000,1561000,562000,None,None,0,None,None,None,None,919000,None,None,919000,None,-1377000,None,-413000,OOMA
2020-07-31,USD,2513000,975000,None,-4134000,-1183000,300000,746000,-1157000,-1174000,-367000,-944000,284000,None,None,0,None,None,None,None,634000,None,None,634000,None,-1342000,None,-367000,OOMA
2020-04-30,USD,-2848000,431000,None,-3006000,3198000,1126000,762000,830000,1698000,-1066000,-591000,795000,None,None,0,None,None,None,None,1267000,None,None,1267000,None,-2644000,None,-1066000,OOMA
2020-01-31,USD,-782000,561000,None,-2651000,-155000,1100000,889000,-424000,-1051000,-2294000,563000,211000,None,None,0,None,None,None,None,211000,None,None,211000,None,-8000,None,-2294000,OOMA
2019-10-31,USD,-627000,534000,None,701000,929000,600000,752000,332000,-745000,-6784000,-1842000,139000,None,None,0,None,None,None,None,932000,None,None,932000,None,-7318000,None,-6784000,OOMA
2019-07-31,USD,-411000,527000,None,1002000,2055000,400000,1030000,19000,738000,-4983000,3123000,-66000,None,None,0,None,None,None,None,354000,None,None,354000,None,2646000,None,-4983000,OOMA
2019-04-30,USD,-5744000,526000,None,-3141000,1594000,481000,602000,-62000,651000,-4740000,1022000,724000,None,None,0,None,None,None,None,1454000,None,None,1454000,None,-3998000,None,-4740000,OOMA
2019-01-31,USD,-2121000,None,None,3986000,5875000,76000,483000,843000,2520000,-3489000,4640000,-505000,None,None,0,None,None,None,None,123000,None,None,123000,None,2014000,None,-3489000,OOMA
2018-10-31,USD,-1305000,None,None,149000,1183000,200000,583000,-223000,217000,-3494000,-2304000,21000,None,None,0,None,None,None,None,1119000,None,None,1119000,None,-3588000,None,-3494000,OOMA
2018-07-31,USD,-794000,None,None,1193000,1790000,100000,450000,-444000,1165000,-3904000,9207000,37000,None,None,0,None,None,None,None,478000,None,None,478000,None,8450000,None,-3904000,OOMA
2018-04-30,USD,294000,None,None,2822000,1749000,88000,405000,874000,311000,-3685000,3310000,407000,None,None,0,None,None,None,None,1166000,None,None,1166000,None,4011000,None,-3685000,OOMA
2018-01-31,USD,794000,None,None,362000,-606000,204000,731000,-684000,-696000,-2927000,-837000,-421000,None,None,0,None,None,None,None,49000,None,None,49000,None,-464000,None,-2927000,OOMA
2017-10-31,USD,947000,None,None,875000,-27000,80000,684000,-716000,-615000,-2921000,-5944000,-489000,None,None,0,None,None,None,None,981000,None,None,981000,None,-5486000,None,-3179000,OOMA
2017-07-31,USD,1267000,None,None,584000,-553000,81000,484000,-184000,-153000,-3759000,336000,-178000,None,None,0,None,None,None,None,25000,None,None,25000,None,1425000,None,-3623000,OOMA
2017-04-30,USD,165000,None,None,499000,539000,83000,579000,-272000,1154000,-3514000,4290000,563000,None,None,0,None,None,None,None,863000,None,None,863000,None,5018000,None,-3392000,OOMA
2017-01-31,USD,2575000,None,None,1319000,1080000,83000,412000,-152000,1238000,-2573000,-2661000,-218000,None,None,0,None,None,None,None,30000,None,None,630000,None,-2318000,None,-2832000,OOMA
2016-10-31,USD,-2916000,None,None,416000,138000,83000,116000,388000,28000,-2916000,-129000,-683000,None,None,0,None,None,None,None,657000,None,None,657000,None,-404000,None,-2821000,OOMA
2016-07-31,USD,-3440000,None,None,1068000,-19000,85000,709000,-544000,656000,-3440000,-3098000,167000,None,None,0,None,None,None,None,167000,None,None,167000,None,-2270000,None,-3340000,OOMA
2016-04-30,USD,-3166000,None,None,-2001000,-1752000,97000,321000,-587000,-1103000,-4023000,-17081000,-105000,None,None,600000,None,None,None,None,623000,None,None,23000,None,-18431000,None,-3956000,OOMA
2016-01-31,USD,4090000,13000,None,-671000,-2138000,98000,1767000,-638000,-778000,917000,-29845000,-253000,None,None,None,None,None,None,None,43000,None,None,-7260000,None,-29872000,None,-3183000,OOMA
2015-10-31,USD,-3531000,121000,None,2761000,1229000,134000,251000,1324000,-1432000,-3531000,-251000,-1591000,None,None,None,None,None,None,None,117000,None,None,-1428000,None,-1888000,None,-3531000,OOMA
2015-07-31,USD,-3677000,None,None,None,None,20000,458000,None,-1055000,-3403000,-866000,48017000,None,None,None,None,None,None,None,60000,None,None,None,None,45538000,None,-3403000,OOMA
