fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2022-03-31,USD,146192000,14030000,None,-254625000,-283226000,12350000,10015000,-259483000,None,-14598000,-67103000,10980000,0,0,0,None,None,None,None,None,None,None,24408000,None,90069000,None,-14598000,TTD
2021-12-31,USD,163394000,14486000,None,375901000,414684000,12250000,12369000,395705000,None,8039000,4038000,9806000,0,None,0,None,None,None,None,None,None,None,28388000,None,177238000,None,8039000,TTD
2021-09-30,USD,129678000,11831000,None,97467000,71000000,8952000,26430000,98439000,None,59384000,-33779000,4110000,0,None,0,None,None,None,None,None,None,None,13220000,None,59384000,None,59384000,TTD
2021-06-30,USD,10371000,12068000,None,49907000,149677000,11006000,6992000,159045000,None,47697000,-27570000,22469000,0,None,0,None,None,None,None,None,None,None,36476000,None,47697000,None,47697000,TTD
2021-03-31,USD,75070000,15107000,None,-206269000,-192667000,10011000,14182000,-208847000,-939438000,22642000,-36327000,-4459000,0,None,0,None,None,None,None,None,None,None,12621000,None,34284000,None,22642000,TTD
2020-12-31,USD,167557000,11300000,None,458025000,481853000,7855000,18147000,439117000,-860637000,151902000,-82365000,-82210000,0,None,0,None,None,None,None,None,None,None,28840000,None,2982000,None,151902000,TTD
2020-09-30,USD,88385000,7625000,None,280665000,265065000,7517000,21930000,272514000,-723497000,41247000,-15972000,-64386000,0,None,0,None,None,None,None,None,None,None,12247000,None,41247000,None,41247000,TTD
2020-06-30,USD,96351000,5175000,None,-16856000,-67448000,6783000,20762000,-83025000,-787185000,25111000,-28908000,33690000,0,None,0,None,None,None,None,None,None,None,37410000,None,25111000,None,25111000,TTD
2020-03-31,USD,52776000,4902000,None,-205075000,-194761000,6477000,19275000,-210552000,-725009000,24057000,-16026000,157585000,143000000,None,0,None,None,None,None,None,None,None,19320000,None,194335000,None,24057000,TTD
2019-12-31,USD,-28068000,5067000,None,223187000,329203000,6416000,15096000,328630000,-511272000,50945000,-15973000,1471000,None,None,0,None,None,None,None,None,None,None,16061000,None,-42570000,None,50945000,TTD
2019-09-30,USD,44482000,4559000,None,33670000,14790000,5969000,6086000,7726000,-461639000,19422000,-28438000,3827000,None,None,0,None,None,None,None,None,None,None,21911000,None,19422000,None,19422000,TTD
2019-06-30,USD,34080000,3917000,None,85126000,127625000,4821000,11920000,122245000,-423528000,27800000,-37978000,13632000,None,None,0,None,None,None,None,None,None,None,-854000,None,-13251000,None,27800000,TTD
2019-03-31,USD,9711000,3792000,None,-143375000,-120652000,4456000,7502000,-127232000,-375484000,10151000,-81452000,8350000,None,None,0,None,None,None,None,None,None,None,9502000,None,-63391000,None,10151000,TTD
2018-12-31,USD,48058000,None,None,189979000,195119000,3715000,10468000,195165000,-332986000,39435000,-10468000,3293000,None,None,0,None,None,None,None,None,None,None,6791000,None,40883000,None,39435000,TTD
2018-09-30,USD,26136000,None,None,-6726000,2283000,3277000,5366000,-5612000,-296447000,20292000,-5366000,3898000,None,None,0,None,None,None,None,None,None,None,0,None,24668000,None,20292000,TTD
2018-06-30,USD,602000,None,None,60479000,94662000,2579000,6701000,92735000,-271188000,19343000,-6701000,8828000,None,None,0,None,None,None,None,None,None,None,5802000,None,2729000,None,19343000,TTD
2018-03-31,USD,11807000,None,None,-48768000,-41612000,2251000,2656000,-42387000,-236626000,9070000,-2656000,-26149000,None,None,0,None,None,None,None,None,None,None,1212000,None,-16998000,None,9070000,TTD
2017-12-31,USD,24193000,None,None,124803000,126558000,2052000,2228000,129421000,-240153000,16811000,-5228000,4187000,None,None,0,None,None,None,None,None,None,None,4703000,None,23152000,None,16811000,TTD
2017-09-30,USD,19002000,None,None,84788000,84015000,1968000,2318000,88362000,-211272000,10229000,-2318000,255000,None,None,0,None,None,None,None,None,None,None,0,None,16939000,None,10229000,TTD
2017-06-30,USD,36856000,None,None,59283000,72669000,1696000,4269000,66043000,-210565000,18849000,-4269000,2786000,None,None,0,None,None,None,None,None,None,None,2019000,None,9286000,None,18849000,TTD
2017-03-31,USD,-30820000,None,None,-88710000,-54173000,1493000,4249000,-59190000,-185573000,4909000,-4249000,162000,None,None,0,None,None,None,None,None,None,None,275000,None,-26827000,None,4909000,TTD
2016-12-31,USD,-2943000,317000,None,124601000,105664000,1186000,3909000,105414000,-163047000,10280000,-3909000,-22703000,None,None,0,None,56005000,56005000,None,None,None,None,-56209000,None,9432000,None,10280000,TTD
2016-09-30,USD,8297000,None,None,None,None,959000,2184000,None,-178061000,3644000,-5312000,72201000,None,None,0,None,None,None,None,None,None,None,None,None,8297000,None,3644000,TTD
