fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2021-06-30,USD,1435935000,None,None,None,None,256553000,104622000,-928928000,-792591000,1144657000,689061000,-1381774000,0,431255000,431255000,None,185385000,185385000,None,851000,None,None,-374074000,56330000,750437000,7215000,1144657000,LRCX
2021-03-31,USD,1165080000,None,None,None,None,19312000,89596000,None,10134000,1071121000,115936000,-1288406000,None,1094571000,1094571000,None,186551000,186551000,None,9626000,None,None,-1084945000,0,1126867000,None,1071121000,LRCX
2020-12-31,USD,344637000,None,None,None,None,19014000,92072000,None,49748000,869229000,69940000,-865317000,None,723297000,723297000,None,187927000,187927000,None,8108000,None,None,-673755000,0,921338000,None,869229000,LRCX
2020-09-30,USD,642511000,None,None,None,None,18222000,62806000,None,29019000,823451000,-801666000,-631485000,None,448581000,448581000,None,167129000,167129000,None,5538000,None,None,-443043000,None,-790640000,None,823451000,LRCX
2020-06-30,USD,813048000,None,None,None,None,217929000,50554000,-641827000,-411608000,696673000,-430209000,563400000,0,41017000,41017000,None,167739000,167739000,None,1869000,None,None,7844000,None,943489000,-2750000,696673000,LRCX
2020-03-31,USD,541428000,None,None,None,None,18856000,51375000,None,6683000,574781000,169772000,225462000,0,245433000,245433000,None,163510000,163510000,None,1714000,None,None,-243719000,None,622195000,None,574781000,LRCX
2019-12-31,USD,307928000,None,None,None,None,18965000,62054000,None,13475000,514510000,-734329000,-1150696000,0,1005067000,1005067000,None,166721000,166721000,None,632000,None,None,-965988000,None,560235000,None,514510000,LRCX
2019-09-30,USD,464047000,None,None,None,None,18803000,39256000,None,13997000,465789000,750682000,-262096000,0,78132000,78132000,None,158868000,158868000,None,3869000,None,None,-74263000,None,952633000,None,465789000,LRCX
2019-06-30,USD,880487000,None,None,None,None,202206000,65948000,732138000,281355000,541825000,-623483000,-1527856000,-300000000,1108560000,1108560000,None,164873000,164874000,None,1694000,None,None,-1061825000,45041000,-1274893000,991000,541825000,LRCX
2019-03-31,USD,932821000,None,None,None,None,37911000,75522000,None,281355000,547390000,-1008171000,1643522000,297850000,934637000,934637000,None,171196000,171196000,None,5010000,None,None,-929627000,0,600630000,None,547390000,LRCX
2018-12-23,USD,642419000,None,None,None,None,37516000,105923000,None,8110000,568855000,666931000,-515553000,-359518000,1519000,1519000,None,167907000,167907000,None,109000,None,None,31510000,None,791076000,-2721000,568855000,LRCX
2018-09-23,USD,720286000,None,None,None,None,37645000,56098000,None,25613000,533374000,-672331000,-1990193000,-86000,1735895000,1735895000,None,174372000,174372000,None,0,None,None,-1735895000,None,-1944549000,-2311000,533360000,LRCX
2018-06-30,USD,718358000,None,None,None,None,206459000,79655000,-501628000,-701008000,1021141000,1260994000,-2160769000,359604000,1306309000,1306309000,None,82005000,82005000,None,2626000,None,None,-1262116000,None,-186738000,-5607000,1021146000,LRCX
2018-03-31,USD,1050379000,None,None,None,None,44221000,49057000,None,8901000,778800000,2086467000,-186462000,0,80105000,80105000,None,79739000,79739000,None,2517000,None,None,-77588000,None,2954043000,4041000,778800000,LRCX
2017-12-31,USD,28704000,None,None,None,None,44754000,84693000,None,18125000,-9955000,-294874000,-396022000,0,1111450000,1111450000,None,73127000,73127000,None,3073000,None,None,-1074320000,None,-661350000,842000,-9955000,LRCX
2017-09-30,USD,858306000,None,None,None,None,43888000,60064000,None,11852000,590720000,-304051000,-528804000,0,155385000,155385000,None,72738000,72738000,None,1042000,None,None,-154343000,None,28768000,3317000,590690000,LRCX
2017-06-30,USD,-236716000,None,None,None,None,197114000,34811000,-411287000,-307875000,526385000,64886000,-539809000,None,525778000,525778000,None,73709000,73709000,None,369000,None,None,-502289000,None,248964000,399000,526424000,LRCX
2017-03-31,USD,610003000,None,None,None,None,44736000,44116000,None,12144000,574680000,-467250000,-333819000,None,216372000,216372000,None,73337000,73337000,None,7964000,None,None,-191185000,None,-375390000,2991000,574713000,LRCX
2016-12-31,USD,365046000,None,None,None,None,44804000,36513000,None,10409000,332791000,-2027217000,-1729258000,None,67668000,67668000,None,48397000,48397000,None,3121000,None,None,-64547000,None,-3357741000,-5364000,332791000,LRCX
2016-09-30,USD,864253000,None,None,None,None,45530000,41979000,None,13419000,263835000,376752000,-29508000,None,1854000,1854000,None,48052000,48052000,None,1459000,None,None,18925000,None,822379000,1911000,263835000,LRCX
2016-06-30,USD,807235000,None,None,None,None,188184000,51726000,-169034000,-66370999,258924000,521514000,1861887000,None,27114000,27114000,None,47308000,47308000,None,1547000,None,None,-5207000,None,2807301000,76000,258939000,LRCX
2016-03-31,USD,143451000,None,None,None,None,51300000,46007000,None,None,143451000,135731000,-57160000,None,20092000,20092000,None,47539000,47539000,None,308000,None,None,-3397000,None,264148000,2666000,143451000,LRCX
2015-12-31,USD,222980000,None,None,None,None,52900000,28143000,None,None,222980000,14395000,-85736000,None,12798000,12798000,None,47896000,47896000,None,1173000,None,None,-11625000,None,223548000,344000,222980000,LRCX
2015-09-30,USD,832994000,None,None,None,None,48831000,49454000,None,None,288679000,-79157000,-123246000,None,98385000,98385000,None,47659000,47659000,None,377000,None,None,-78763000,None,242786000,-3808000,288679000,LRCX
2015-06-30,USD,-158888000,None,None,None,None,170883000,63133000,-294155000,-207462000,-158888000,-340456000,-87557000,None,74339000,74339000,None,28714000,28714000,None,1285000,None,None,-56104000,None,-134097000,1850000,131271000,LRCX
2015-03-31,USD,239233000,None,None,None,None,39600000,31898000,None,None,206285000,-394636000,862635000,None,124943000,124943000,None,28724000,28724000,None,7403000,None,None,-102606000,None,654361000,-4675000,206285000,LRCX
2014-12-31,USD,176940000,None,None,None,None,40000000,61363000,None,None,176940000,-378875000,-90769000,None,65536000,65536000,None,29381000,29381000,None,4223000,None,None,-61313000,None,-312403000,-3998000,176940000,LRCX
2014-09-30,USD,210716000,None,None,None,None,47709000,41871000,None,None,141081000,7871000,-305837000,None,308422000,308422000,None,29240000,29240000,None,4609000,None,None,-286894000,None,-158999000,-2194000,141081000,LRCX
2014-06-30,USD,245891000,None,None,None,None,177811000,41764000,-201549000,-190058000,233395000,-74513000,-11373000,None,40249000,40249000,None,None,None,None,8657000,None,None,-16995000,None,160376000,371000,233395000,LRCX
2014-03-31,USD,290210000,None,None,None,None,40400000,41638000,None,None,164396000,-95810000,-34502000,None,52415000,52415000,None,None,None,None,5111000,None,None,-34094000,None,159746000,-152000,164396000,LRCX
2013-12-31,USD,129023000,None,None,None,None,40900000,38323000,None,None,148992000,-113830000,-40215000,None,47910000,47910000,None,None,None,None,8449000,None,None,-39496000,None,-23629000,1393000,148992000,LRCX
2013-09-30,USD,51925000,None,None,None,None,49722000,23778000,None,None,85506000,18939000,-76645000,None,104285000,104285000,None,12486000,12486000,None,12574000,None,None,-76557000,None,-6289000,-508000,85506000,LRCX
2013-06-30,USD,174988000,26999000,364000,None,None,177828000,43140000,162634000,76351000,85707000,-60710000,26950000,None,2275000,2275000,None,None,None,None,16713000,None,None,27284000,12846000,143364000,2136000,85707000,LRCX
2013-03-31,USD,102457000,None,None,None,None,45000000,34766000,None,None,18996000,-47273000,-221330000,None,86400000,86400000,None,None,None,None,15132000,None,None,-86400000,0,-171080000,-4934000,18996000,LRCX
2012-12-23,USD,193226000,None,None,None,None,44700000,38924000,None,None,6408000,-70197000,-348542000,None,355010000,355010000,None,None,None,None,6583000,None,None,-348427000,None,-221277000,4236000,6408000,LRCX
2012-09-23,USD,249262000,None,None,None,None,52352000,43965000,None,None,2768000,-60457000,-344868000,None,355079000,355079000,None,286000,286000,None,951000,None,None,-344203000,None,-153286000,2777000,2768000,LRCX
2012-06-30,USD,96715000,None,-1167000,None,None,107914000,36880000,66064000,73987000,-25200000,711461000,-653001000,None,661059000,661059000,None,None,None,None,0,None,None,-652294000,None,154485000,-690000,18069000,LRCX
2012-03-31,USD,146397000,None,0,None,None,4500000,27978000,None,None,45604000,-310200000,67596000,None,18909000,18909000,None,None,None,None,301000,None,None,-10706000,None,-96661000,-454000,45604000,LRCX
2011-12-31,USD,169016000,None,2018000,None,-348000,4500000,26682000,None,None,33212000,-30561000,30302000,None,20642000,20642000,None,None,None,None,1311000,None,None,-19331000,None,167610000,-1147000,33212000,LRCX
2011-09-30,USD,86900000,None,659000,None,-1865000,6593000,15732000,None,None,71838000,-100974000,-137644000,None,72053000,72053000,None,None,None,None,164000,None,None,-63031000,None,-152814000,-1096000,71838000,LRCX
2011-06-30,USD,198108000,None,27231000,None,None,19972000,34571000,-89716000,-77461000,125928000,-351368000,699994000,None,53753000,53753000,None,1016661000,1016661000,None,2179000,None,None,89774000,None,549422000,2688000,125928000,LRCX
2011-03-31,USD,241593000,None,None,None,None,18176000,35769000,None,None,182240000,-47258000,14724000,None,8617000,8617000,None,None,None,None,5980000,None,None,3884000,None,213650000,4591000,182240000,LRCX
2010-12-31,USD,185583000,None,None,None,1913000,18663000,38025000,None,None,221856000,-37641000,-51533000,None,4151000,None,None,None,None,None,3407000,None,None,-54151000,None,100779000,4370000,221856000,LRCX
