fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2022-06-30,USD,44157000,104395000,60238000,4000,20035000,12755000,11367000,24122000,2144000,645000,951000,306000,104395000,2505000,None,1342000,19915000,7679000,306000,16748000,-21376000,20221000,21563000,12236000,ACMR
2022-03-31,USD,19686000,42186000,22500000,34000,-9306000,11646000,17346000,28992000,1805000,-261000,1805000,261000,42186000,237000,1083000,1213000,-9797000,-4011000,261000,-7443000,-3916000,-9536000,-8323000,-5786000,ACMR
2021-12-31,USD,45446000,95142000,49696000,158000,19126000,13406000,12914000,26320000,392000,-191000,392000,191000,95142000,52000,692000,756000,18720000,3155000,191000,18615000,18915000,18911000,19667000,15565000,ACMR
2021-09-30,USD,29685000,67013000,37328000,144000,11795000,10034000,7856000,17890000,33000,-191000,33000,191000,67013000,-255000,501000,566000,9889000,-266000,191000,11150000,9984000,10080000,10646000,10155000,ACMR
2021-06-30,USD,21680000,53864000,32184000,117000,4331000,9416000,7933000,17349000,31000,-194000,31000,194000,53864000,-897000,467000,485000,6582000,15000,194000,7334000,8537000,6776000,7261000,6567000,ACMR
2021-03-31,USD,18045000,43732000,25687000,142000,3450000,9091000,5504000,14595000,49000,-189000,49000,189000,43706000,469000,439000,546000,2700000,-2770000,189000,5822000,4573000,2889000,3435000,5470000,ACMR
2020-12-31,USD,19674000,45562000,25888000,118000,5432000,8364000,5878000,14242000,63000,-371000,63000,371000,45538000,-2444000,257000,281000,5731000,-2798000,371000,9198000,12348000,6102000,6383000,8529000,ACMR
2020-09-30,USD,20341000,47665000,27324000,36000,7506000,8492000,4343000,12835000,179000,-272000,179000,272000,47665000,-1759000,195000,333000,6880000,-1747000,272000,10020000,13079000,7152000,7485000,8627000,ACMR
2020-06-30,USD,19356000,39049000,19693000,144000,7336000,6799000,5221000,12020000,320000,-228000,320000,228000,39049000,149000,189000,229000,1778000,1859000,228000,496000,-872000,2006000,2235000,-81000,ACMR
2020-03-31,USD,10228000,24348000,14120000,46000,1218000,5333000,3677000,9010000,335000,-111000,335000,111000,24348000,677000,185000,212000,2009000,304000,111000,1963000,757000,2120000,2332000,1705000,ACMR
2019-12-31,USD,12443000,24608000,12165000,12165000,3849000,5292000,3302000,8594000,205000,-207000,205000,207000,24610000,-739000,185000,202000,2759000,-1185000,207000,4201000,6028000,2966000,3168000,3944000,ACMR
2019-09-30,USD,16254000,33427000,17173000,17173000,7030000,5732000,3492000,9224000,95000,-205000,95000,205000,33427000,1850000,176000,198000,8454000,-328000,205000,9089000,6191000,8659000,8857000,8782000,ACMR
2019-06-30,USD,13131000,29010000,15879000,15879000,4661000,5129000,3341000,8470000,24000,-194000,24000,194000,29010000,543000,177000,197000,5187000,876000,194000,4311000,3343000,5381000,5578000,4311000,ACMR
2019-03-31,USD,8826000,20479000,11653000,11653000,2251000,3810000,2765000,6575000,9000,-139000,14000,139000,20479000,-261000,175000,191000,1976000,119000,139000,1857000,2514000,2115000,2306000,1857000,ACMR
2018-12-31,USD,10316000,20848000,10532000,10532000,2640000,3520000,4156000,7676000,9000,1619000,1753000,134000,-53795000,42000,93000,37000,2445000,159000,134000,2286000,2384000,2579000,2616000,2286000,ACMR
2018-09-30,USD,10287000,23179000,12892000,12892000,3404000,4619000,2264000,6883000,3000,-112000,None,112000,23179000,902000,84000,207000,4314000,461000,112000,3853000,3107000,4426000,4633000,3853000,ACMR
2018-06-30,USD,8724000,20873000,12149000,12149000,2331000,3974000,2419000,6393000,14000,-149000,None,149000,None,1066000,88000,93000,3379000,164000,149000,3215000,2179000,3528000,3621000,3215000,ACMR
2018-03-31,USD,5122000,9743000,4621000,4621000,-1904000,5485000,1541000,7026000,3000,-103000,None,103000,None,-755000,85000,80000,-2758000,22000,103000,-2780000,-2075000,-2655000,-2575000,-2780000,ACMR
2017-12-31,USD,9173000,17192000,8019000,8020000,3765000,3346000,2062000,5408000,2000,-597000,-517000,80000,None,None,81000,88000,3460000,76000,80000,3365000,3367000,3540000,3628000,3384000,ACMR
2017-09-30,USD,2199000,4891000,2692000,2692000,-1310000,2300000,1209000,3509000,2000,-33000,None,33000,None,-239000,55000,65000,-1233000,-278000,33000,-1282000,-817000,-1200000,-1135000,-955000,ACMR
2017-06-30,USD,3451000,8763000,5312000,5312000,-202000,1294000,939000,3653000,None,None,None,86000,None,-228000,66000,61000,-690000,-32000,None,5944500,-520000,-604000,-543000,-658000,ACMR
2017-03-31,USD,2402000,5660000,3258000,3258000,-1553000,1864000,928000,3955000,None,None,None,78000,None,-64000,52000,57000,-1308000,781000,None,-2474000,-2061000,-1230000,-1173000,-2089000,ACMR
2016-12-31,USD,7584000,14345000,6761000,6761000,4265000,979000,960000,3319000,None,None,None,63000,None,None,61000,53000,1758000,536000,None,2387000,1020000,1821000,1874000,1222000,ACMR
2016-09-30,USD,2915000,4904000,1989000,1989000,788000,605000,813000,2127000,None,None,None,67000,None,None,31000,46000,494000,132000,None,None,320000,561000,806000,362000,ACMR
